host,variant,epoch,train_loss,source
csbrain,tridim,11,0.142710,checkpoint filename epoch<N>_loss<X>.pth
csbrain,tridim,12,0.140121,checkpoint filename epoch<N>_loss<X>.pth
csbrain,tridim,13,0.137476,checkpoint filename epoch<N>_loss<X>.pth
csbrain,tridim,14,0.135566,checkpoint filename epoch<N>_loss<X>.pth
csbrain,tridim,15,0.133496,checkpoint filename epoch<N>_loss<X>.pth
csbrain,tridim,16,0.131690,checkpoint filename epoch<N>_loss<X>.pth
csbrain,tridim,17,0.130227,checkpoint filename epoch<N>_loss<X>.pth
csbrain,tridim,18,0.128487,checkpoint filename epoch<N>_loss<X>.pth
csbrain,tridim,19,0.126411,checkpoint filename epoch<N>_loss<X>.pth
csbrain,tridim,20,0.125479,checkpoint filename epoch<N>_loss<X>.pth
csbrain,tridim,21,0.124027,checkpoint filename epoch<N>_loss<X>.pth
csbrain,tridim,22,0.122549,checkpoint filename epoch<N>_loss<X>.pth
csbrain,tridim,23,0.121476,checkpoint filename epoch<N>_loss<X>.pth
csbrain,tridim,24,0.120392,checkpoint filename epoch<N>_loss<X>.pth
csbrain,tridim,25,0.118735,checkpoint filename epoch<N>_loss<X>.pth
csbrain,tridim,26,0.117752,checkpoint filename epoch<N>_loss<X>.pth
csbrain,tridim,27,0.117007,checkpoint filename epoch<N>_loss<X>.pth
csbrain,tridim,28,0.115665,checkpoint filename epoch<N>_loss<X>.pth
csbrain,tridim,29,0.114724,checkpoint filename epoch<N>_loss<X>.pth
csbrain,tridim,30,0.113845,checkpoint filename epoch<N>_loss<X>.pth
csbrain,tridim,31,0.113149,checkpoint filename epoch<N>_loss<X>.pth
csbrain,tridim,32,0.112456,checkpoint filename epoch<N>_loss<X>.pth
csbrain,tridim,33,0.111808,checkpoint filename epoch<N>_loss<X>.pth
csbrain,tridim,34,0.110892,checkpoint filename epoch<N>_loss<X>.pth
csbrain,tridim,35,0.110541,checkpoint filename epoch<N>_loss<X>.pth
csbrain,tridim,36,0.110215,checkpoint filename epoch<N>_loss<X>.pth
csbrain,tridim,37,0.109956,checkpoint filename epoch<N>_loss<X>.pth
csbrain,tridim,38,0.109589,checkpoint filename epoch<N>_loss<X>.pth
csbrain,tridim,39,0.109464,checkpoint filename epoch<N>_loss<X>.pth
csbrain,tridim,40,0.109177,checkpoint filename epoch<N>_loss<X>.pth
